CSAPÁGYAK	GOLYÓS CSAPÁGY	MÉLYHORNYÚ GOLYÓSCSAPÁGY	EGYSORÚ MÉLYHORNYÚ GOLYÓSCSAPÁGY	BECO fagyálló egysorú mélyhornyú golyóscsapágy
				INA 12B láncfeszítő RAE csapággyal d=20, z=15
				INA 16B láncfeszítő RAE csapággyal d=20, z=12
				INA excenteres rögzítőgyűrűvel szerelt Y-csapágy
				INA hernyócsavaros rögzítésű Y-csapágy
				INA Y csapágy
				INA Y csapágy domború palást, excenter gyűrűs
				INA Y csapágy dumború gumibetéttel excentergyűrűs
				INA Y csapágy hengeres palást excenter gyűrű +gumi
				INA Y csapágy hengeres palást, excenter gyűrűs
				INA Y csapágy hengeres palást, hernyócsavaros
				INA Y csapágy négyszög furattal
				INA Y csapágy szabványos belső gyűrűvel
				INA Y csapágy szélesített belső gyűrűvel
				INA Y-csapágy kúpos furattal, szorítóhüvellyel
				KELETI excenteres rögzítőgyűrűvel szerelt Y-csapágy
				KELETI hernyócsavaros rögzítésű Y-csapágy
				KELETI hernyócsavaros rögzítésű Y-csapágy rozsdam.
				KELETI Y csapágy szabványos belső gyűrűvel
				KELETI Y csapágy szélesített belső gyűrűvel
				KELETI Y-csapágy kúpos furattal, szorítóhüvellyel
				KELETI Y-csapágy négyszög furat, domború palást
				KELETI Y-csapágy négyszög furat, hengeres palást
				KOYO hernyócsavaros rögzítésű Y-csapágy
				KOYO Y-csapágy kúpos furattal szorítóhüvely nélkül
				KOYO Y-csapágy kúpos furattal, szorítóhüvellyel
				KOYO Y-csapágy négyszög furat, hengeres palást
				NICE Y csapágy hengeres palást, excenter gyűrűs
				NKE excenteres rögzítőgyűrűvel szerelt Y-csapágy
				NSK excenteres rögzítőgyűrűvel szerelt Y-csapágy
				NSK Y csapágy szabványos belső gyűrűvel
				NSK Y-csapágy kúpos furattal, szorítóhüvellyel
				NTN excenteres rögzítőgyűrűvel szerelt Y-csapágy
				NTN hernyócsavaros rögzítésű Y-csapágy
				NTN Y csapágy hengeres palást, hernyócsavaros
				NTN Y-csapágy kúpos furattal szorítóhüvely nélkül
				RHP excenteres rögzítőgyűrűvel szerelt Y-csapágy
				RHP hernyócsavaros rögzítésű Y-csapágy
				RHP hernyócsavaros rögzítésű Y-csapágy (rozsdamen)
				RHP Y csapágy hengeres palást, excenter gyűrűs
				RHP Y csapágy hengeres palást, hernyócsavar
				SealMaster Y csapágy hengeres palást, hernyócsavaros
				SKF excenteres rögzítőgyűrűvel szerelt Y-csapágy
				SKF hernyócsavaros rögzítésű Y-csapágy
				SKF hernyócsavaros rögzítésű Y-csapágy (rozsdamen)
				SKF hernyócsavaros rögzítésű Y-csapágy /250°C
				SKF rezgéscsillapító gumibetét
				SKF Y csapágy szabványos belső gyűrűvel
				SKF Y-csapágy kúpos furattal, szorítóhüvellyel
				SNR excenteres rögzítőgyűrűvel szerelt Y-csapágy
				SNR hernyócsavaros rögzítésű Y-csapágy
				SNR Y-csapágy kúpos furattal, szorítóhüvellyel
				TIMKEN excenteres rögzítőgyűrűvel szerelt Ycsapágy
				TIMKEN hernyócsavaros rögzítésű Y-csapágy
				ZKL/ZVL excenteres rögzítőgyűrűvel szerelt Y-csapágy
				ZKL/ZVL hernyócsavaros rögzítésű Y-csapágy
				ZKL/ZVL Y csapágy szabványos belső gyűrűvel
			Y-CSAPÁGYEGYSÉG	ASAHI öntött Y csapágyegység ovális házzal rozsdam
				ASAHI öntött Y csapágyegység, kör alakú házzal
				ASAHI öntött Y csapágyegység, négyzet alakú házzal
				ASAHI öntött Y csapágyegység, ovális alakú házzal
				ASAHI öntött Y csapágyegység, ovális házzal (RM)
				ASAHI öntött, álló Y csapágyegység
				ASAHI Y csapágyegység
				FAG feszítő Y-csapágyegység öntöttvas házzal
				FAG öntött Y csapágyegység, kör alakú házzal
				FAG öntött, álló Y csapágyegység
				FAG öntött, álló Y csapágyegység (zsákfurattal)
				FAG Y csapágyegység
