TERMOKKOD	TERMEKNEV	KEP 1	KEP 2	KEP 3
O- ... VITON	O-gyűrű VITON	https://cdn.skfmediahub.skf.com/api/public/094e418beda9bb35/png_highpreview/094e418beda9bb35_png_highpreview.png		
FT DRÓTKEFE INOX_OSBORN	Osborn drótkefe, INOX, zöld műanyag nyél, 1 soros	https://www.osborn.com/pim-resources/pim-images/5653/image-thumb__5653__productDetailPage_mainImage/EUMBHB001-0008462391-prd~-~media--54823e27--query.avif		
FT DRÓTKEFE RÉZ_OSBORN	Osborn drótkefe, RÉZ, sárga műanyag nyél, 1 soros	https://www.osborn.com/pim-resources/pim-images/5652/image-thumb__5652__productDetailPage_mainImage/EUMBHB001-0008462591-prd~-~media--54823e27--query.avif		
FT KESZTYŰ EGYSZ.HASZN.FEKETE	Púdermentes nitril kesztyű FEKETE (1doboz = 50db)	https://www.haberkorn.com/dam/510x510/0100ECC9.jpg	https://www.haberkorn.com/dam/510x510/0100ECC8.jpg	
FT KESZTYŰ EGYSZ.HASZN.NARANCS	Púdermentes nitril kesztyű NARANCS (1doboz = 50db)	https://www.haberkorn.com/dam/510x510/0100ECCD.jpg	https://www.haberkorn.com/dam/510x510/0100ECCC.jpg	
RA..	SEEGER DIN6799	https://www.seeger-orbis.com/fileadmin/_processed_/e/a/csm_Sicherungsscheiben_RA8_1846e2a398.jpg		
RA.. ROZSDAMENTES	SEEGER DIN6799 rozsdamentes	https://www.seeger-orbis.com/fileadmin/_processed_/e/a/csm_Sicherungsscheiben_RA8_1846e2a398.jpg		
RB	SEEGER DIN9926	https://www.seeger-orbis.com/fileadmin/_processed_/0/9/csm_Runddraht-Sprengringe_RB50_8e8f700005.jpg		
SW	SEEGER DIN9927	https://www.seeger-orbis.com/fileadmin/_processed_/f/9/csm_Sprengringe_DIN_9927-9928_SW50r_002fe6ad89.jpg		
SB	SEEGER DIN9928	https://www.seeger-orbis.com/fileadmin/_processed_/4/4/csm_Sprengringe_DIN_9927-9928_SB50r_0318e07ae9.jpg		
A..	SEEGER rögzítő gyűrű DIN471	https://www.seeger-orbis.com/fileadmin/_processed_/0/a/csm_DIN_417-472_-_A50_37c82f2749.jpg		
A.. ROZSDAMENTES	SEEGER rögzítő gyűrű DIN471 rozsdamentes	https://www.seeger-orbis.com/fileadmin/_processed_/0/a/csm_DIN_417-472_-_A50_37c82f2749.jpg		
I..	SEEGER rögzítő gyűrű DIN472	https://www.seeger-orbis.com/fileadmin/_processed_/c/9/csm_DIN_417-472_-_J50_61a44a157f.jpg		
I.. ROZSDAMENTES	SEEGER rögzítő gyűrű DIN472 rozsdamentes	https://www.seeger-orbis.com/fileadmin/_processed_/c/9/csm_DIN_417-472_-_J50_61a44a157f.jpg		
SIM ... B2PT	SIMRIT nyomásálló szimering RM ac. ház teflon ajak	https://products.fst.com/pim/assets/design/designsketch/designsketch_b2pt-200x200.png		
... E2	SKF (E2) energiatakarékos mélyhornyú golyóscsapágy	https://cdn.skfmediahub.skf.com/api/public/0901d196808e8c53/png_highpreview/0901d196808e8c53_png_highpreview.png		
PHE ... TGHKIT	SKF acélszalagos tengelykapcsoló szerelő készlet	https://cdn.skfmediahub.skf.com/api/public/094b5fb639de55cc/png_highpreview/094b5fb639de55cc_png_highpreview.png		
LK ... agyas	SKF agyas lánckerék	https://cdn.skfmediahub.skf.com/api/public/0901d19680bf160e/png_highpreview/0901d19680bf160e_png_highpreview.png		
LK ... agyas TB-vel	SKF agyas lánckerék kúpos szorítóval	https://cdn.skfmediahub.skf.com/api/public/0901d19680bf1610/png_highpreview/0901d19680bf1610_png_highpreview.png		
TLGB 21	SKF akkumulátoros zsírzópumpa	https://cdn.skfmediahub.skf.com/api/public/09423f9b27a3bc4f/png_highpreview/09423f9b27a3bc4f_png_highpreview.png	https://cdn.skfmediahub.skf.com/api/public/094464bbf14bddbc/png_highpreview/094464bbf14bddbc_png_highpreview.png	
HNA 1-4	SKF állítható körmös kulcs, D=20-35mm KM1-KM4	https://cdn.skfmediahub.skf.com/api/public/094456a37dadf4ac/png_highpreview/094456a37dadf4ac_png_highpreview.png	https://cdn.skfmediahub.skf.com/api/public/0901d1968010bcd0/png_highpreview/0901d1968010bcd0_png_highpreview.png	
HNA 5-8	SKF állítható körmös kulcs, D=35-60mm KM5-KM8	https://cdn.skfmediahub.skf.com/api/public/094b06bbdf340d91/png_highpreview/094b06bbdf340d91_png_highpreview.png	https://cdn.skfmediahub.skf.com/api/public/0901d1968010bcd0/png_highpreview/0901d1968010bcd0_png_highpreview.png	
HNA 9-13	SKF állítható körmös kulcs, D=60-90mm KM9-KM13	https://cdn.skfmediahub.skf.com/api/public/0949b3b023a7875f/png_highpreview/0949b3b023a7875f_png_highpreview.png	https://cdn.skfmediahub.skf.com/api/public/0901d1968010bcd0/png_highpreview/0901d1968010bcd0_png_highpreview.png	
HNA 14-24	SKF állítható körmös kulcs, D=90-150mm KM14-KM23	https://cdn.skfmediahub.skf.com/api/public/094835a1706c9dea/png_highpreview/094835a1706c9dea_png_highpreview.png	https://cdn.skfmediahub.skf.com/api/public/0901d1968010bcd0/png_highpreview/0901d1968010bcd0_png_highpreview.png	
LAPP 4	SKF alsó védőelem automata kenőberendezéshez	https://cdn.skfmediahub.skf.com/api/public/094c78baf51e34c9/png_highpreview/094c78baf51e34c9_png_highpreview.png		
LGFG	SKF általános élelmiszeripari kenőzsír	https://cdn.skfmediahub.skf.com/api/public/094c56ab04152267/png_highpreview/094c56ab04152267_png_highpreview.png		
LGMT 2	SKF általános ipari és autóipari csapágyzsír NLGI2	https://cdn.skfmediahub.skf.com/api/public/0901d196809a87be/png_highpreview/0901d196809a87be_png_highpreview.png		
LGMT 3	SKF általános ipari és autóipari csapágyzsír NLGI3	https://cdn.skfmediahub.skf.com/api/public/0901d196809a87c8/png_highpreview/0901d196809a87c8_png_highpreview.png		
TMBR	SKF alumínium melegítőgyűrű	https://cdn.skfmediahub.skf.com/api/public/0901d196800e33c3/png_highpreview/0901d196800e33c3_png_highpreview.png		
53200, 53300, 53400	SKF axiális golyóscs egyirányú terh. beálló tárcsa	https://www.skf.com/webpim/0901d196802f2ab7/png/0901d196802f2ab7.png	https://www.skf.com/webpim/0901d1968037d6bb/0901d1968037d6bb.svg	https://www.skf.com/webpim/0901d1968037d6bc/0901d1968037d6bc.svg
54200, 54400	SKF axiális golyóscs kétirányú terh. beálló tárcsa	https://www.skf.com/webpim/0901d196808e8950/png/0901d196808e8950.png	https://www.skf.com/webpim/0901d1968037d6c1/0901d1968037d6c1.svg	https://www.skf.com/webpim/0901d1968037d6c2/0901d1968037d6c2.svg
51100, 51200, 51300, 51400, 52200, 52300, 52400, BA	SKF axiális golyóscsapágy egyirányú terhelésre	https://www.skf.com/webpim/0901d1968080984e/png/0901d1968080984e.png	https://www.skf.com/webpim/0901d1968037d6a6/0901d1968037d6a6.svg	
81000	SKF axiális hengergörgős csapágy, egyirányú terh.	https://www.skf.com/webpim/0945ba9efa121613/png/0945ba9efa121613.png	https://www.skf.com/webpim/0901d196803a5a5d/0901d196803a5a5d.svg	
AS	SKF axiális tárcsa tűgörgős csapágyhoz	https://www.skf.com/webpim/0901d196808e8846/png/0901d196808e8846.png	https://www.skf.com/webpim/0901d1968039c420/0901d1968039c420.svg	
TMFS	SKF axiális tengelyanya kulcs	https://cdn.skfmediahub.skf.com/api/public/0941e0aec5916ce8/png_highpreview/0941e0aec5916ce8_png_highpreview.png		
AXK	SKF axiális tűgörgős csapágy (kosár)	https://www.skf.com/webpim/0901d19680b35674/png/0901d19680b35674.png	https://www.skf.com/webpim/0901d1968039c423/0901d1968039c423.svg	
29200, 29300, 29400	SKF beálló axiális görgőscsapágy	https://www.skf.com/webpim/0901d19680809877/png/0901d19680809877.png	https://www.skf.com/webpim/0901d1968039bc8d/0901d1968039bc8d.svg	
1200, 1300, 2200, 2300	SKF beálló golyóscsapágy	https://www.skf.com/webpim/0901d196807fc382/png/0901d196807fc382.png		
100	SKF beálló golyóscsapágy hengeres furattal	https://www.skf.com/webpim/0901d196807fc382/png/0901d196807fc382.png	https://www.skf.com/webpim/0901d1968039aea0/0901d1968039aea0.svg	
11200	SKF beálló golyóscsapágy széles belső gyűrűvel	https://www.skf.com/webpim/0901d196807fc383/png/0901d196807fc383.png	https://www.skf.com/webpim/0901d1968039aea7/0901d1968039aea7.svg	
21300, 22200, 22300, 23000, 23100, 23200	SKF beálló görgőscsapágy	https://www.skf.com/webpim/0901d1968080986f/png/0901d1968080986f.png	https://www.skf.com/webpim/0901d196803a5a02/0901d196803a5a02.svg	
22... /VA405	SKF beálló görgőscsapágy vibrációs alkalmazáshoz	https://cdn.skfmediahub.skf.com/api/public/0901d19680809870/png_highpreview/0901d19680809870_png_highpreview.png		
PNA	SKF beálló tűgörgős csapágy	https://www.skf.com/webpim/0901d19680cb2d21/png/0901d19680cb2d21.png	https://www.skf.com/webpim/0901d1968039c13d/0901d1968039c13d.svg	
RPNA	SKF beálló tűgörgős csapágy belső gyűrű nélkül	https://www.skf.com/hu/productinfo/productid-RPNA%2020%2F35	https://www.skf.com/webpim/0901d1968039bbb0/0901d1968039bbb0.svg	
TMIP 30-60	SKF belső csapágylehúzó készlet, d=30-60mm	https://cdn.skfmediahub.skf.com/api/public/0901d1968091e644/png_highpreview_800/0901d1968091e644_png_highpreview_800.png		
TMIC 7-28	SKF belső csapágylehúzó készlet, d=7-28mm	https://cdn.skfmediahub.skf.com/api/public/0901d1968091e644/png_highpreview_800/0901d1968091e644_png_highpreview_800.png		
TMIP 7-28	SKF belső csapágylehúzó készlet, d=7-28mm	https://cdn.skfmediahub.skf.com/api/public/0901d1968091e644/png_highpreview_800/0901d1968091e644_png_highpreview_800.png		
TMIP 7-60	SKF belső csapágylehúzó készlet, d=7-60mm	https://cdn.skfmediahub.skf.com/api/public/0901d1968091e644/png_highpreview_800/0901d1968091e644_png_highpreview_800.png		
IR	SKF belső gyűrű tűgörgős csapágyhoz	https://www.skf.com/webpim/0901d196808e8771/png/0901d196808e8771.png	https://www.skf.com/webpim/0901d1968039dc93/0901d1968039dc93.svg	
LAPF F1/4	SKF belső menetes csőcsatlakozó G1/4	https://cdn.skfmediahub.skf.com/api/public/094f8ebae416447a/png_highpreview/094f8ebae416447a_png_highpreview.png		
LHMF 300/1	SKF beszerelő folyadék hidr. berendezéshez (1L)	https://cdn.skfmediahub.skf.com/api/public/0945a5a1ed466724/png_highpreview/0945a5a1ed466724_png_highpreview.png		
LHMF 300/205	SKF beszerelő folyadék hidr. berendezéshez (205L)	https://cdn.skfmediahub.skf.com/api/public/09439184e15f24e9/png_highpreview/09439184e15f24e9_png_highpreview.png		
LHMF 300/5	SKF beszerelő folyadék hidr. berendezéshez (5L)	https://cdn.skfmediahub.skf.com/api/public/0901d19680107613/png_highpreview/0901d19680107613_png_highpreview.png		
FRB	SKF betétgyűrű csapágyházakhoz	https://www.skf.com/webpim/0901d19680392d65/png/0901d19680392d65.png	https://www.skf.com/webpim/09465ca9026b0d9e/09465ca9026b0d9e.svg	
LGGB	SKF biológiailag lebomló szintetikus csapágyzsír	https://cdn.skfmediahub.skf.com/api/public/0901d196809a8752/png_highpreview/0901d196809a8752_png_highpreview.png		
MB, MBL	SKF biztosító lemez	https://www.skf.com/webpim/0901d19680cb92b1/png/0901d19680cb92b1.png	https://www.skf.com/webpim/0901d19680390ce4/0901d19680390ce4.svg	
MS	SKF biztosítókengyel tengelyanyához	https://www.skf.com/webpim/0901d19680cb934a/png/0901d19680cb934a.png		
TMMR 25/35XL-1	SKF bővítő klt. TMMR-hez (2db 275mm kar + csúcs)	https://cdn.skfmediahub.skf.com/api/public/094291b090b06a97/png_highpreview/094291b090b06a97_png_highpreview.png		
C (CARB)	SKF CARB toroidgörgős csapágy	https://www.skf.com/webpim/0901d1968080982f/png/0901d1968080982f.png	https://www.skf.com/webpim/0901d196803a6261/0901d196803a6261.svg	
C (CARB) ... K	SKF CARB toroidgörgős csapágy kúpos furattal	https://www.skf.com/webpim/0901d1968080982f/png/0901d1968080982f.png	https://www.skf.com/webpim/0901d196803a6050/0901d196803a6050.svg	
SYNT	SKF ConCentra csapágyegység	https://cdn.skfmediahub.skf.com/api/public/0901d19680c4c8c0/png_highpreview/0901d19680c4c8c0_png_highpreview.png		
HM 44, KM, KML	SKF csapágyanya	https://www.skf.com/webpim/0901d19680cb9349/png/0901d19680cb9349.png	https://www.skf.com/webpim/0901d19680390ce3/0901d19680390ce3.svg	
AN	SKF csapágyanya, hüvelyk méret	https://www.skf.com/webpim/0901d19680cb9349/png/0901d19680cb9349.png	https://www.skf.com/webpim/0901d19680390ce1/0901d19680390ce1.svg	
SAF, SE, SNL, SSNLD	SKF csapágyház	https://www.skf.com/webpim/0945a48092c2c101/png/0945a48092c2c101.png		
TSN ... C	SKF csapágyház-tömítés, filctömítés	https://cdn.skfmediahub.skf.com/api/public/0901d1968080a15a/png_highpreview/0901d1968080a15a_png_highpreview.png		
TSN ... S	SKF csapágyház-tömítés, labirinttömítés	https://cdn.skfmediahub.skf.com/api/public/0901d1968080a15c/png_highpreview/0901d1968080a15c_png_highpreview.png		
TSN ... A	SKF csapágyház-tömítés, V-gyűrűs tömítés	https://cdn.skfmediahub.skf.com/api/public/0901d1968080a159/png_highpreview/0901d1968080a159_png_highpreview.png		
TXL	SKF csapágyháztömítés (négyajkas, gumi)	https://cdn.skfmediahub.skf.com/api/public/0947f3a2475331c9/png_highpreview/0947f3a2475331c9_png_highpreview.png	https://cdn.skfmediahub.skf.com/api/public/094f9a8c47a70693/svg_preview/094f9a8c47a70693_svg_preview.svg	
SHT	SKF csapágyhüvely	https://cdn.skfmediahub.skf.com/api/public/0901d19680a3a519/png_highpreview/0901d19680a3a519_png_highpreview.png		
TMBP 20E	SKF csapágykihúzó klt. vakfuratos csapágyházakhoz	https://cdn.skfmediahub.skf.com/api/public/0901d1968010bd97/png_highpreview/0901d1968010bd97_png_highpreview.png		
TMFT 36-H	SKF csapágyszerelő, csapágyfelütő kalapács	https://cdn.skfmediahub.skf.com/api/public/094a2391b5a8df92/png_highpreview/094a2391b5a8df92_png_highpreview.png		
TMFT 36	SKF csapágyszerelő, csapágyfelütő készlet	https://cdn.skfmediahub.skf.com/api/public/0901d196804e02dc/png_highpreview/0901d196804e02dc_png_highpreview.png	https://cdn.skfmediahub.skf.com/api/public/0901d196804e02da/png_highpreview/0901d196804e02da_png_highpreview.png	
LGHQ	SKF csapágyzsír elektromos motorokhoz	https://cdn.skfmediahub.skf.com/api/public/0901d19680a8c5af/png_highpreview/0901d19680a8c5af_png_highpreview.png		
VKN 550	SKF csapágyzsír feltöltő	https://cdn.skfmediahub.skf.com/api/public/0901d19680107239/png_highpreview/0901d19680107239_png_highpreview.png		
LGHB	SKF csapágyzsír magas viszkozitású nagy terh.+hő	https://cdn.skfmediahub.skf.com/api/public/0901d196809a8769/png_highpreview/0901d196809a8769_png_highpreview.png		
LGWA	SKF csapágyzsír nagy terhelés különösen nyomásálló	https://cdn.skfmediahub.skf.com/api/public/0901d196809a87de/png_highpreview/0901d196809a87de_png_highpreview.png		
LGEP	SKF csapágyzsír nagy terhelésre és nyomásra	https://cdn.skfmediahub.skf.com/api/public/0901d196809a8c8c/png_highpreview/0901d196809a8c8c_png_highpreview.png		
LGWM 2	SKF csapágyzsír nagy terhelésre, széles hőmérs.tar	https://cdn.skfmediahub.skf.com/api/public/0901d196809a881c/png_highpreview/0901d196809a881c_png_highpreview.png		
LGET	SKF csapágyzsír rendkívül magas hőmérs. 200-260°C	https://cdn.skfmediahub.skf.com/api/public/0901d196809a8700/png_highpreview/0901d196809a8700_png_highpreview.png		
KR	SKF csapos támasztógörgő	https://www.skf.com/webpim/0901d19680c37dc7/png/0901d19680c37dc7.png	https://www.skf.com/webpim/0901d19680c6936a/0901d19680c6936a.svg	
KRE	SKF csapos támasztógörgő (excenteres)	https://www.skf.com/webpim/0901d19680c37dc9/png/0901d19680c37dc9.png	https://www.skf.com/webpim/0901d19680c69354/0901d19680c69354.svg	
NUKR	SKF csapos támasztógörgő (telegörgős hengergörgős)	https://www.skf.com/webpim/0901d19680c37dd4/png/0901d19680c37dd4.png	https://www.skf.com/webpim/0901d1968037d14b/0901d1968037d14b.svg	
KRV	SKF csapos támasztógörgő (telegörgős tűgörgős)	https://www.skf.com/webpim/0901d19680c37dc7/png/0901d19680c37dc7.png	https://www.skf.com/webpim/0901d19680c69352/0901d19680c69352.svg	
KRVE, NUKRE	SKF csapos támasztógörgő (telegörgős, excenteres)	https://www.skf.com/webpim/0901d19680c37dc9/png/0901d19680c37dc9.png	https://www.skf.com/webpim/0901d19680c9bd89/0901d19680c9bd89.svg	
LAPN 1/4UNF	SKF csatlakozó G1/4 - 1/4UNF	https://cdn.skfmediahub.skf.com/api/public/0946f3abe39b4fd7/png_highpreview/0946f3abe39b4fd7_png_highpreview.png		
LAPN 1/2	SKF csatlakozó G1/4 - G1/2	https://cdn.skfmediahub.skf.com/api/public/0944b09e86cc89c4/png_highpreview/0944b09e86cc89c4_png_highpreview.png		
LAPN 1/4	SKF csatlakozó G1/4 - G1/4	https://cdn.skfmediahub.skf.com/api/public/0949dabe582c9b9e/png_highpreview/0949dabe582c9b9e_png_highpreview.png		
LAPN 1/8	SKF csatlakozó G1/4 - G1/8	https://cdn.skfmediahub.skf.com/api/public/09401ebb57c28953/png_highpreview/09401ebb57c28953_png_highpreview.png		
LAPN 3/8	SKF csatlakozó G1/4 - G3/8	https://cdn.skfmediahub.skf.com/api/public/0945f3bcde724e00/png_highpreview/0945f3bcde724e00_png_highpreview.png		
LAPN 10	SKF csatlakozó G1/4 - M10	https://cdn.skfmediahub.skf.com/api/public/09455c8fdb6d1993/png_highpreview/09455c8fdb6d1993_png_highpreview.png		
LAPN 10X1	SKF csatlakozó G1/4 - M10x1	https://cdn.skfmediahub.skf.com/api/public/09455c8fdb6d1993/png_highpreview/09455c8fdb6d1993_png_highpreview.png		
LAPN 12	SKF csatlakozó G1/4 - M12	https://cdn.skfmediahub.skf.com/api/public/0940e8918d4bb5b4/png_highpreview/0940e8918d4bb5b4_png_highpreview.png		
LAPN 12X1.5	SKF csatlakozó G1/4 - M12x1.5	https://cdn.skfmediahub.skf.com/api/public/0940e8918d4bb5b4/png_highpreview/0940e8918d4bb5b4_png_highpreview.png		
LAPN 6	SKF csatlakozó G1/4 - M6	https://cdn.skfmediahub.skf.com/api/public/0948b7ad23d71a3a/png_highpreview/0948b7ad23d71a3a_png_highpreview.png		
LAPN 8	SKF csatlakozó G1/4 - M8	https://cdn.skfmediahub.skf.com/api/public/0946cbab2ad00a1c/png_highpreview/0946cbab2ad00a1c_png_highpreview.png		
LAPN 8X1	SKF csatlakozó G1/4 - M8x1	https://cdn.skfmediahub.skf.com/api/public/0940cb9d7493d760/png_highpreview/0940cb9d7493d760_png_highpreview.png		
1013523 E	SKF csatlakozóelem adapter	https://cdn.skfmediahub.skf.com/api/public/094849ac738cda1b/png_highpreview/094849ac738cda1b_png_highpreview.png		
226402	SKF csatlakozótömb	https://cdn.skfmediahub.skf.com/api/public/0944cfb36ecb6aef/png_highpreview/0944cfb36ecb6aef_png_highpreview.png		
226402-1	SKF csatlakozótömb pótalkatrész, nyomásmérő csonk	https://cdn.skfmediahub.skf.com/api/public/0948e5b64520d900/png_highpreview/0948e5b64520d900_png_highpreview.png		
226402-2	SKF csatlakozótömb pótalkatrész, O-gyűrű	https://cdn.skfmediahub.skf.com/api/public/094e418beda9bb35/png_highpreview/094e418beda9bb35_png_highpreview.png		
TMDT 2-36	SKF csőbilincs hőszonda (200°C)	https://cdn.skfmediahub.skf.com/api/public/0947e39df6885abf/png_highpreview/0947e39df6885abf_png_highpreview.png		
1077453/100MPA	SKF csőtoldat	https://cdn.skfmediahub.skf.com/api/public/0901d196801543f0/png_highpreview/0901d196801543f0_png_highpreview.png		
1077454/100MPA	SKF csőtoldat	https://cdn.skfmediahub.skf.com/api/public/0901d196801543f0/png_highpreview/0901d196801543f0_png_highpreview.png		
227966/100MPA	SKF csőtoldat	https://cdn.skfmediahub.skf.com/api/public/0901d196801543f0/png_highpreview/0901d196801543f0_png_highpreview.png		
LAPE 35	SKF csőtoldat 35mm	https://cdn.skfmediahub.skf.com/api/public/094bc084b7b2f234/png_highpreview/094bc084b7b2f234_png_highpreview.png		
LAPE 50	SKF csőtoldat 50mm	https://cdn.skfmediahub.skf.com/api/public/094be7833b214c34/png_highpreview/094be7833b214c34_png_highpreview.png		
TKSA 71	SKF csúcsminőségű tengelybeállító	https://cdn.skfmediahub.skf.com/api/public/0901d19680536293/png_highpreview/0901d19680536293_png_highpreview.png		
TKSA 71/PRO	SKF csúcsminőségű tengelybeállító, tartozékokkal	https://cdn.skfmediahub.skf.com/api/public/0901d19680536293/png_highpreview/0901d19680536293_png_highpreview.png		
TMDT 2-33	SKF derékszögű hőszonda kemény felülethez (450°C)	https://cdn.skfmediahub.skf.com/api/public/094f53b76c7de9f6/png_highpreview/094f53b76c7de9f6_png_highpreview.png		
TKRT 10	SKF digitális fordulatszámmérő	https://cdn.skfmediahub.skf.com/api/public/0901d196802d3a65/png_highpreview/0901d196802d3a65_png_highpreview.png		
LK ... 1DSTB	SKF dupla egysoros lánckerék	https://cdn.skfmediahub.skf.com/api/public/0901d19680bf160a/png_highpreview/0901d19680bf160a_png_highpreview.png		
LK ... 1DSA	SKF dupla egysoros lánckerék egyoldali aggyal	https://cdn.skfmediahub.skf.com/api/public/0901d19680bf1609/png_highpreview/0901d19680bf1609_png_highpreview.png		
PHE UJMB...	SKF dupla kardáncsuklós tengelykapcsoló	https://cdn.skfmediahub.skf.com/api/public/0901d19680bf161b/png_highpreview/0901d19680bf161b_png_highpreview.png		
DTW	SKF egyajkas bepattintható poliuretán szennylehúzó gy.	https://cdn.skfmediahub.skf.com/api/public/0901d1968028664d/png_highpreview/0901d1968028664d_png_highpreview.png		
LAGH 400	SKF egykezes zsírzópisztoly + flexi szár	https://cdn.skfmediahub.skf.com/api/public/0901d19680107224/png_highpreview/0901d19680107224_png_highpreview.png		
7200 PORVÉDŐS, 7300 PORVÉDŐS	SKF egysorú ferde hatásvonalú golyóscsap. povédős	https://www.skf.com/webpim/0901d196807ff271/png/0901d196807ff271.png	https://www.skf.com/webpim/0901d19680390cdf/0901d19680390cdf.svg	
7000, 7200, 7300, 71800, 71900	SKF egysorú ferde hatásvonalú golyóscsapágy	https://www.skf.com/webpim/0901d196807ff26f/png/0901d196807ff26f.png	https://www.skf.com/webpim/0901d1968038e90a/0901d1968038e90a.svg	
N	SKF egysorú hengergörgős csapágy (N)	https://cdn.skfmediahub.skf.com/api/public/0901d1968080983d/png_highpreview/0901d1968080983d_png_highpreview.png	https://cdn.skfmediahub.skf.com/api/public/0901d196803a5fa3/svg_preview/0901d196803a5fa3_svg_preview.svg	
NJ, NJP	SKF egysorú hengergörgős csapágy (NJ)	https://cdn.skfmediahub.skf.com/api/public/0901d1968080983f/png_highpreview/0901d1968080983f_png_highpreview.png	https://cdn.skfmediahub.skf.com/api/public/0901d196803a5fa1/svg_preview/0901d196803a5fa1_svg_preview.svg	
NU	SKF egysorú hengergörgős csapágy (NU)	https://cdn.skfmediahub.skf.com/api/public/0901d1968080984a/png_highpreview/0901d1968080984a_png_highpreview.png	https://cdn.skfmediahub.skf.com/api/public/0901d196803a5fa0/svg_preview/0901d196803a5fa0_svg_preview.svg	
NU ... VL0241	SKF egysorú hengergörgős csapágy (NU) szigetelt	https://cdn.skfmediahub.skf.com/api/public/0901d1968080a1aa/png_highpreview/0901d1968080a1aa_png_highpreview.png		
NUP	SKF egysorú hengergörgős csapágy (NUP)	https://cdn.skfmediahub.skf.com/api/public/0901d19680809842/png_highpreview/0901d19680809842_png_highpreview.png	https://cdn.skfmediahub.skf.com/api/public/0901d196803a5fa2/svg_preview/0901d196803a5fa2_svg_preview.svg	
RNU	SKF egysorú hengergörgős csapágy belsőgyűrű nélkül	https://www.skf.com/webpim/0901d196808e86fa/png/0901d196808e86fa.png	https://www.skf.com/webpim/0901d196803b7de0/0901d196803b7de0.svg	
30200, 30300, 31300, 32000, 32200, 32300, 32900, 33000, 33100, 33200, 331074, 331126, 331293, 331567, 331933, 331958, 331974, 639000, BCAB, BT1-, BT1B, HM, JL, JLM, JM, L, LM, M, T2CD, T2DD, T2ED, T4CB, T4DB, T4EB, T7FC	SKF egysorú kúpgörgős csapágy	https://www.skf.com/webpim/0901d1968080987b/png/0901d1968080987b.png	https://www.skf.com/webpim/0901d1968039f55e/0901d1968039f55e.svg	
... GJN	SKF egysorú mélyh. csapágy (-30...+150°C zsírral)	https://www.skf.com/webpim/0901d196807ff28b/png/0901d196807ff28b.png		
... WT	SKF egysorú mélyh. csapágy (-40...+160°C zsírral)	https://www.skf.com/webpim/0901d196807ff28b/png/0901d196807ff28b.png		
... LHT23	SKF egysorú mélyh. csapágy (-50...+140°C zsírral)	https://www.skf.com/webpim/0901d196807ff28b/png/0901d196807ff28b.png		
6... VL2071	SKF egysorú mélyh. golyóscsap. belső gy. szigetelt	https://cdn.skfmediahub.skf.com/api/public/0901d1968080a1ab/png_highpreview/0901d1968080a1ab_png_highpreview.png		
6... VL0241	SKF egysorú mélyh. golyóscsap. külső gy. szigetelt	https://cdn.skfmediahub.skf.com/api/public/0901d1968080a1ad/png_highpreview/0901d1968080a1ad_png_highpreview.png		
... /W64	SKF egysorú mélyhornyú golyóscs. Solid Oil feltölt	https://cdn.skfmediahub.skf.com/api/public/094df38f073da43c/png_highpreview/094df38f073da43c_png_highpreview.png		
6000, 6200, 6300, 6400, 16000, 16100, 61800, 61900, 63000, BB1-, BB1B, BBYB, EE, EEB, RMS	SKF egysorú mélyhornyú golyóscsapágy	https://www.skf.com/webpim/0901d196807ff28b/png/0901d196807ff28b.png		
6000 ... VA201	SKF egysorú mélyhornyú hőálló golyóscsapágy /250°C	https://cdn.skfmediahub.skf.com/api/public/0901d196808e8c48/png_highpreview/0901d196808e8c48_png_highpreview.png		
6000 ... VA208	SKF egysorú mélyhornyú hőálló golyóscsapágy /350°C	https://cdn.skfmediahub.skf.com/api/public/094494bb6ad9721e/png_highpreview/094494bb6ad9721e_png_highpreview.png		
6000 ... VA228	SKF egysorú mélyhornyú hőálló golyóscsapágy /350°C	https://cdn.skfmediahub.skf.com/api/public/094494bb6ad9721e/png_highpreview/094494bb6ad9721e_png_highpreview.png		
NCF	SKF egysorú telegörgős hengergörgős csapágy	https://www.skf.com/webpim/0901d19680809843/png/0901d19680809843.png	https://www.skf.com/webpim/0901d1968039ad60/0901d1968039ad60.svg	
NJG	SKF egysorú telegörgős hengergörgős csapágy (NJ)	https://cdn.skfmediahub.skf.com/api/public/0901d196808e86e4/png_highpreview/0901d196808e86e4_png_highpreview.png	https://cdn.skfmediahub.skf.com/api/public/0901d1968039ad61/svg_preview/0901d1968039ad61_svg_preview.svg	
E- ... ékszíj	SKF ékszíj	https://cdn.skfmediahub.skf.com/api/public/0901d19680be8185/png_highpreview/0901d19680be8185_png_highpreview.png		
E- ... ékszíj, átlapolt	SKF ékszíj, átlapolt	https://cdn.skfmediahub.skf.com/api/public/0901d19680be8186/png_highpreview/0901d19680be8186_png_highpreview.png		
E- ... ékszíj, fogazott	SKF ékszíj, fogazott	https://cdn.skfmediahub.skf.com/api/public/0901d19680be8213/png_highpreview/0901d19680be8213_png_highpreview.png		
TKBA 40	SKF ékszíjtárcsa beállító, nagy pontosságú	https://cdn.skfmediahub.skf.com/api/public/0901d196802d0e37/png_highpreview/0901d196802d0e37_png_highpreview.png		
ET- ... ékszíjtárcsa	SKF ékszíjtárcsa, kúpos szorítós	https://cdn.skfmediahub.skf.com/api/public/0901d19680bf155f/png_highpreview/0901d19680bf155f_png_highpreview.png		
