TERMOKKOD	TERMEKNEV	KEP 1	KEP 2	KEP 3
FBS	F.BS extra erős szilikon ragasztó, színtelen	https://material.hu/wp-content/uploads/2017/10/fbs-tkd.png		
VDI	Faudi csukló DIN 71802 horganyzott acél	https://www.onlinecsapagy.hu/images/products/40078/thumb/faudi_csuklo_m10_jobbos_20161014051322.jpg		
RB-	Golyó, csapágygolyó	https://eurobearing.eu/wp-content/uploads/2023/06/Bearing-balls-%E2%80%93-steel-%E2%80%93-125-mm-COD-RB-125G20W.png		
RB-	Golyó, csapágygolyó, rozsdamentes	https://eurobearing.eu/wp-content/uploads/2023/06/Bearing-balls-%E2%80%93-steel-%E2%80%93-125-mm-COD-RB-125G20W.png		
GUMIBAK GH.TIP. ...	GUMIBAK átmenőfuratos, acél erősítés	https://meta-vulk.hu/wp-content/uploads/gh.jpg		
GUMIBAK GP.TIP. ...	GUMIBAK átmenőfuratos, csak gumi	https://meta-vulk.hu/wp-content/uploads/gp.jpg		
U-	Gumírozott alátét / USIT-ring / csavartömítés, NBR	https://www.haberkorn.com/dam/510x510/0100AD42.jpg		
KCSH	Hevederes kardáncsukló	https://cdn.skfmediahub.skf.com/api/public/0901d19680bf161a/png_highpreview/0901d19680bf161a_png_highpreview.png		
KCSHD	Hevederes kardáncsukló, dupla	https://cdn.skfmediahub.skf.com/api/public/0901d19680bf161b/png_highpreview/0901d19680bf161b_png_highpreview.png		
KSR	INA láncfeszítő RAE csapággyal	https://cdn.schaeffler-ecommerce.com/cdn/0001A7B8_a.png		
PWTR ... _I	INA Support roller (yoke-type track roller)	https://cdn.schaeffler-ecommerce.com/cdn/00007744_d.png		
SD	INA tömítőgyűrű	https://cdn.schaeffler-ecommerce.com/cdn/000A64A1_d.png		
TG	INA tűgörgő	https://www.bspdbearing.com/wp-content/uploads/2021/08/Loose-Needle-Rollers.jpg		
RABR-B	INA Y csapágy dumború gumibetéttel, excentergyűrűs	https://cdn.schaeffler-ecommerce.com/cdn/0008A582_d.png		
PHUSE	INA Y csapágyegység	https://cdn.schaeffler-ecommerce.com/cdn/00089DB1_d.png		
KS 911.2085	KS TOOLS bit készlet, 1/4" 122 részes	https://www.kstools.com/media/image/3e/ec/ca/FOT_PRO_ALG_BIT_911-2085_SALL_AING_V15b8e144dcc651_600x600.jpg		
KS 911.2008	KS TOOLS bit készlet, 1/4" 208 részes	https://www.kstools.com/media/image/42/b2/35/FOT_PRO_ALG_911-2008_SALL_AING_V1YOWDCcwaNV1jA_600x600.jpg		
KS 911.2027	KS TOOLS bit készlet, 1/4" 99 részes	https://www.kstools.com/media/image/30/9f/6b/FOT_PRO_ALG_911-2027_SALL_AING_V15b838f37312ef_200x200.jpg		
KS 503.4665	KS TOOLS csillag-villás kulcs klt. 12db, 8-19mm	https://www.kstools.com/media/image/2f/3e/2f/FOT_GES_ALG_503-4665-GB_SALL_AING_V1vqEwS9o4aAGH3_600x600.jpg	https://www.kstools.com/media/image/8e/6d/6c/FOT_PRO_ALG_503-4665_SALL_AING_V15b82e9fdd0002_600x600.jpg	
KS 517.0609	KS TOOLS csillag-villás kulcs, 10mm	https://www.kstools.com/media/image/a7/e5/c3/FOT_PRO_ALG_SCHL_517-06XX-06-32-_SALL_AING_V15bf207473027a_600x600.jpg		
KS 517.0611	KS TOOLS csillag-villás kulcs, 11mm	https://www.kstools.com/media/image/a7/e5/c3/FOT_PRO_ALG_SCHL_517-06XX-06-32-_SALL_AING_V15bf207473027a_600x600.jpg		
KS 517.0612	KS TOOLS csillag-villás kulcs, 12mm	https://www.kstools.com/media/image/a7/e5/c3/FOT_PRO_ALG_SCHL_517-06XX-06-32-_SALL_AING_V15bf207473027a_600x600.jpg		
KS 517.0612	KS TOOLS csillag-villás kulcs, 13mm	https://www.kstools.com/media/image/a7/e5/c3/FOT_PRO_ALG_SCHL_517-06XX-06-32-_SALL_AING_V15bf207473027a_600x600.jpg		
KS 517.0614	KS TOOLS csillag-villás kulcs, 14mm	https://www.kstools.com/media/image/a7/e5/c3/FOT_PRO_ALG_SCHL_517-06XX-06-32-_SALL_AING_V15bf207473027a_600x600.jpg		
KS 517.0615	KS TOOLS csillag-villás kulcs, 15mm	https://www.kstools.com/media/image/a7/e5/c3/FOT_PRO_ALG_SCHL_517-06XX-06-32-_SALL_AING_V15bf207473027a_600x600.jpg		
KS 517.0616	KS TOOLS csillag-villás kulcs, 16mm	https://www.kstools.com/media/image/a7/e5/c3/FOT_PRO_ALG_SCHL_517-06XX-06-32-_SALL_AING_V15bf207473027a_600x600.jpg		
KS 517.0617	KS TOOLS csillag-villás kulcs, 17mm	https://www.kstools.com/media/image/a7/e5/c3/FOT_PRO_ALG_SCHL_517-06XX-06-32-_SALL_AING_V15bf207473027a_600x600.jpg		
